equipo_id,no_serie,marca_id,descripcion,fecha_compra,precio,tipo_equipo,empleado_id
1,SN-DEL-552248,2,Impresora HP de uso corporativo,2023-07-09,1708.96,6,
2,SN-APP-424308,7,Impresora Samsung de uso corporativo,2024-07-06,1788.44,6,36.0
3,SN-HPP-797229,7,Monitor Samsung de uso corporativo,2023-05-17,1104.28,3,
4,SN-XYZ-550770,10,Audífonos Cisco de uso corporativo,2023-08-12,1242.72,10,29.0
5,SN-APP-596171,3,Desktop Lenovo de uso corporativo,2023-03-08,1361.31,2,
6,SN-ABC-958179,4,Mouse Apple de uso corporativo,2022-07-09,2045.42,5,6.0
7,SN-XYZ-598216,10,Desktop Cisco de uso corporativo,2025-02-08,1123.94,2,41.0
8,SN-HPP-618392,7,Teclado Samsung de uso corporativo,2021-08-27,1691.74,4,8.0
9,SN-HPP-329471,3,Tablet Lenovo de uso corporativo,2025-03-17,268.01,9,8.0
10,SN-XYZ-940346,8,Tablet LG de uso corporativo,2023-07-23,2382.59,9,40.0
11,SN-APP-567574,3,Servidor Lenovo de uso corporativo,2025-01-17,759.1,8,
12,SN-APP-608136,4,Mouse Apple de uso corporativo,2024-12-06,332.09,5,
13,SN-DEL-435239,9,Desktop Logitech de uso corporativo,2021-07-20,504.45,2,25.0
14,SN-XYZ-167348,7,Router Samsung de uso corporativo,2023-09-17,1425.14,7,27.0
15,SN-HPP-508396,10,Laptop Cisco de uso corporativo,2024-04-07,1270.9,1,20.0
16,SN-HPP-664365,9,Audífonos Logitech de uso corporativo,2022-06-22,1297.34,10,28.0
17,SN-ABC-507746,6,Router Acer de uso corporativo,2021-11-07,2125.19,7,17.0
18,SN-HPP-720644,10,Laptop Cisco de uso corporativo,2020-12-09,1660.46,1,9.0
19,SN-ABC-372793,7,Impresora Samsung de uso corporativo,2022-05-16,1218.54,6,49.0
20,SN-DEL-888539,7,Mouse Samsung de uso corporativo,2020-12-01,1255.22,5,20.0
21,SN-DEL-335113,2,Laptop HP de uso corporativo,2020-05-07,2381.59,1,13.0
22,SN-XYZ-232352,8,Desktop LG de uso corporativo,2022-06-11,1242.83,2,
23,SN-XYZ-735324,10,Desktop Cisco de uso corporativo,2021-11-01,2417.09,2,23.0
24,SN-DEL-703766,7,Router Samsung de uso corporativo,2022-03-23,328.59,7,45.0
25,SN-ABC-831059,5,Audífonos Asus de uso corporativo,2021-05-10,2021.13,10,
26,SN-APP-549186,6,Desktop Acer de uso corporativo,2025-09-03,1671.73,2,27.0
27,SN-ABC-554582,6,Servidor Acer de uso corporativo,2021-09-18,1173.39,8,
28,SN-APP-947458,9,Servidor Logitech de uso corporativo,2025-03-19,1173.6,8,
29,SN-DEL-993085,4,Desktop Apple de uso corporativo,2023-02-16,2221.83,2,49.0
30,SN-APP-739979,7,Impresora Samsung de uso corporativo,2020-04-27,1311.62,6,12.0
31,SN-XYZ-472060,5,Impresora Asus de uso corporativo,2023-02-19,2218.75,6,31.0
32,SN-APP-300337,2,Teclado HP de uso corporativo,2024-07-22,1298.16,4,16.0
33,SN-HPP-569945,1,Desktop Dell de uso corporativo,2023-04-20,670.75,2,
34,SN-APP-486945,8,Tablet LG de uso corporativo,2025-12-14,957.83,9,
35,SN-DEL-836996,8,Mouse LG de uso corporativo,2023-06-09,740.8,5,8.0
36,SN-DEL-225362,9,Monitor Logitech de uso corporativo,2022-02-23,658.5,3,
37,SN-ABC-973074,4,Mouse Apple de uso corporativo,2022-07-20,998.07,5,20.0
38,SN-DEL-147726,1,Tablet Dell de uso corporativo,2023-04-11,1788.93,9,41.0
39,SN-ABC-112861,10,Mouse Cisco de uso corporativo,2025-04-06,1274.98,5,39.0
40,SN-DEL-600935,2,Desktop HP de uso corporativo,2024-06-29,1305.6,2,40.0
41,SN-XYZ-256445,10,Mouse Cisco de uso corporativo,2020-12-14,2485.71,5,36.0
42,SN-APP-725084,10,Teclado Cisco de uso corporativo,2025-11-10,1043.89,4,20.0
43,SN-DEL-696251,10,Laptop Cisco de uso corporativo,2021-02-10,2376.84,1,14.0
44,SN-DEL-792509,2,Monitor HP de uso corporativo,2022-09-09,558.46,3,44.0
45,SN-HPP-572387,10,Servidor Cisco de uso corporativo,2023-04-07,226.7,8,
46,SN-HPP-174637,4,Mouse Apple de uso corporativo,2022-03-21,1149.08,5,35.0
47,SN-DEL-966785,3,Desktop Lenovo de uso corporativo,2020-09-01,539.92,2,
48,SN-HPP-230394,8,Mouse LG de uso corporativo,2024-07-06,2365.29,5,35.0
49,SN-HPP-184349,10,Laptop Cisco de uso corporativo,2024-11-04,1876.15,1,49.0
50,SN-ABC-340044,10,Audífonos Cisco de uso corporativo,2020-03-25,2499.0,10,50.0
